ID,FearID,fear,JoyID,joy,LoveID,love,SadID,Sadness,SurpriseID,surprise,AngerID,anger,NoEmotionID,none,NoOfEmotions,Include,Question Text
45033467,45033467,fear,45033467,NoJoy,45033467,love,45033467,notsadness,45033467,notsurprise,45033467,NotAnger,45033467,,2,Yes,"""I want to build a cloud based solution in which I would give a pool of images; and then ask for ""find similar image to a particular image from this pool of images""  !! Pool of images can be like ""all t-shirt"" images. Hence, similar images mean ""t-shirt with similar design/color/sleeves"" etc.Tagging solution won't work as they are at very high level.AWS Rekognition gives ""facial similarities"" .. but not ""product similarities"" .. it does not work like for images of dresses..I am open to use any cloud providers; but all are providing ""tags"" of the image which won't help me.One solution could be that I use some ML framework like MXNet/Tensorflow, create my own models, train them and then use.. But is there any other ready made solution on any of cloud providers ?"""
45546462,45546462,fear,45546462,NoJoy,45546462,notlove,45546462,notsadness,45546462,notsurprise,45546462,NotAnger,45546462,,1,YES,"""I have problem with access to camera first time. I installed my app. Next go to scan to QR Code. I use to scan QR Code google vision. App show dialog, which show about the permissions, next click ""Allow"",but camera doesn't open. But I go back activity and go to activity which scan QR Code, camera open.my AdnroidManifest.xmlmy class"""
49619897,49619897,notfear,49619897,NoJoy,49619897,notlove,49619897,notsadness,49619897,surprise,49619897,Anger,49619897,,2,Yes,"""Using Airflow I want to get the result of an SQL Query fomratted as a pandas DataFrame.Above is the python function that I want to execute in a. Here is the DAG:But, the work step is throwing an exception. Here is the log :This exception is due to this, which accroding to the descriptionhides another exception, still strange because I'm not doing any insertion.What am I doing wrong? Maybe there is a problem withused in the. Or, dataFrame is not the way to go in order to handle query results.PS: result of"""
55388663,55388663,notfear,55388663,NoJoy,55388663,notlove,55388663,notsadness,55388663,notsurprise,55388663,NotAnger,55388663,NoEmotion,0,Yes,"""I try to use Google Cloud Vision API to detect text of an image. After detecting, I get 1 page and 17 Blocks. I am trying to get text in each blocks and save it in a list, but it does not work. Here is my code:I would like to know is there any other way to get text. Thanks a lot."""
52833231,52833231,notfear,52833231,NoJoy,52833231,notlove,52833231,notsadness,52833231,notsurprise,52833231,NotAnger,52833231,NoEmotion,0,Yes,"""How can i write a test case in Junit for amazon Rekognition.For the above program I wanted to write a Junit testcase. Kindly help me with the same"""
47919331,47919331,notfear,47919331,NoJoy,47919331,notlove,47919331,notsadness,47919331,notsurprise,47919331,NotAnger,47919331,NoEmotion,0,Yes,"""With AWS Rekognition I was able to get faces detected in a mp4 video with the following nodejs,And was able to get the results with the following cli,and outputs the faces in the following json format,How to extract those faces as images and dump them in an s3 bucket?Thanks"""
41895608,41895608,notfear,41895608,NoJoy,41895608,notlove,41895608,notsadness,41895608,notsurprise,41895608,NotAnger,41895608,NoEmotion,0,Yes,"""I am trying to implementMicrosoft Face API in C#using code available on GitHub.I followed all the steps given in :I have some errors like:1-The name """" does not exist in the namespace.2-The type '' was not found. Verify that you are not missing an assembly reference and that all referenced assemblies have been built.3-The tag '' does not exist in XML namespace ''. Line 8 Position 10.In Solution Explorer, """" appears: that means no user controls libraries are loaded."""
55122015,55122015,notfear,55122015,NoJoy,55122015,notlove,55122015,Sadness,55122015,notsurprise,55122015,NotAnger,55122015,,1,Yes,"""I am trying to use aws rekognition to compare faces but it will give an error saying check if the object and bucket exist in same regionwhile uploading the image i have set the content type to image/jpeg formatbut when i upload an image using aws console from computer the rekognition will work ! am i doing something wrong in this code"""
50145372,50145372,notfear,50145372,NoJoy,50145372,notlove,50145372,notsadness,50145372,notsurprise,50145372,NotAnger,50145372,NoEmotion,0,Yes,"""I'm pretty new to the google vision api and I am trying to make arequest.Currently I am reading from an image file, encoding it toand trying to pass it on to the requestBut I am getting aerror. Could anyone spot the error in the code?."""
46676980,46676980,notfear,46676980,NoJoy,46676980,notlove,46676980,Sadness,46676980,notsurprise,46676980,NotAnger,46676980,,1,Yes,"""I am working on a lambda function that needs to access,andservices from AWS.I gaveandpermissions via theand thepolicies respectively and it worked fineThe thing is that I could not access myinstance insidebecause it's inside a VPCI changed my lambda network configurations so it would be able to access the VPC, and theconnection worked as expected, but then the connection tostopped working, whenever I invokefor example it just hangs.Am I missing some permission?"""
